Wall time,Step,Value
1739957135.0595193,16132096,1460.0
1739957143.8726306,16144384,1445.0
1739957172.203559,16185344,1445.0
1739957190.171999,16211968,1453.0
1739957198.7919838,16224256,1450.0
1739957221.410412,16257024,1450.0
1739957234.438762,16275456,1446.0
1739957237.3576455,16279552,1445.0
1739957238.7267218,16281600,1446.0
1739957321.4288533,16398336,1432.0
1739957378.9937015,16480256,1430.0
1739957383.155134,16486400,1431.0
1739957384.479043,16488448,1432.0
1739957387.3550806,16492544,1432.0
1739957407.6791046,16521216,1430.0
1739957419.1391628,16537600,1430.0
1739957453.064736,16584704,1426.0
1739957454.5371885,16586752,1426.0
1739957495.3380997,16623616,1444.0
1739957533.2099285,16676864,1420.0
1739957544.8674464,16693248,1417.0
1739957562.3490412,16717824,1415.0
1739957565.342428,16721920,1414.0
1739957592.4587173,16760832,1418.0
1739957594.0149393,16762880,1417.0
1739957624.19357,16805888,1418.0
1739957634.0660565,16820224,1421.0
1739957645.6594725,16836608,1420.0
1739957647.0157907,16838656,1421.0
1739957668.5897217,16869376,1421.0
1739957687.4880912,16896000,1420.0
1739957688.818874,16898048,1421.0
1739957724.7637427,16949248,1421.0
1739957756.4110625,16994304,1421.0
1739957765.1573062,17006592,1421.0
1739957769.4559782,17012736,1421.0
1739957770.8574789,17014784,1421.0
1739957776.7250519,17022976,1421.0
1739957783.7907367,17033216,1421.0
1739957791.0644772,17043456,1421.0
1739957875.8965654,17141760,1434.0
1739957880.282437,17147904,1431.0
1739957896.5829613,17170432,1416.0
1739957909.9424691,17188864,1409.0
1739957917.3500233,17199104,1406.0
1739957947.2123606,17240064,1396.0
1739957967.2282608,17268736,1402.0
1739957974.2746015,17278976,1405.0
1739958003.6348612,17319936,1403.0
1739958034.6895432,17362944,1400.0
1739958040.434995,17371136,1401.0
1739958083.09709,17432576,1408.0
1739958101.8667505,17459200,1408.0
1739958126.2920766,17494016,1410.0
1739958139.5094142,17512448,1409.0
1739958152.4332,17530880,1410.0
1739958165.3655906,17549312,1410.0
1739958173.754385,17561600,1412.0
1739958175.3237329,17563648,1411.0
1739958187.3684392,17580032,1409.0
1739958243.386816,17657856,1454.0
1739958250.4636798,17668096,1453.0
1739958267.2335532,17692672,1456.0
1739958270.1355565,17696768,1454.0
1739958271.545304,17698816,1454.0
1739958280.1291087,17711104,1452.0
1739958325.5923522,17776640,1448.0
1739958331.2204323,17784832,1448.0
1739958375.633274,17848320,1443.0
1739958384.338568,17860608,1442.0
1739958402.983613,17887232,1440.0
1739958410.129906,17897472,1440.0
1739958418.7428212,17909760,1440.0
1739958447.9996367,17950720,1435.0
1739958459.5666614,17967104,1434.0
1739958462.4443913,17971200,1434.0
1739958494.4617426,18016256,1431.0
1739958497.400926,18020352,1431.0
1739958511.9258075,18040832,1430.0
1739958527.919854,18063360,1429.0
1739958533.7812757,18071552,1428.0
1739958547.2689197,18089984,1426.0
1739958574.3771987,18106368,1567.0
1739958578.667698,18112512,1513.0
1739958592.82435,18132992,1475.0
1739958638.7493193,18198528,1444.0
1739958645.9193683,18208768,1442.0
